反應器規格[mL],pc_白色防雲處理料源,pc_塊料,pc_透明料,pc_前三者混合,pc_黑色料,pc_彩色料,Methanol,Ethanol,ethylene glycol,propylene glycol,Tetrahydrofuran,sodium hydroxide,Sodium ethoxide,Water,Acetic acid ,反應溫度[degC],反應時間[hr],備註,轉化率[%],選擇率[%],副產物_4-tert-butylphenol[%],未知產物[%],理論產物重[kg],實際產物重[kg],產率[%],純度[%]
50000,,,,5,,,5,,,,10,100,,10,170,60.1,2,甲醇/水再結晶,99,98.227,1.773,0,4.32,2,0.46,99.999
200000,,,,35,,,34.92,,,,68.08,700,,35,700,65,1.5,甲醇/水反沉澱,99,98.01,1.99,0,30.28,29,0.96,99.2
200000,,,,34.96,,,35.16,,,,70,700,,35,1012.7,69.1,0.5,甲醇/水反沉澱,99,97.878,2.122,0,30.28,28.52,0.94,99.055
200000,,,,35,,,35,,,,70,700,,35,700,60.2,1.5,甲醇/水反沉澱,99,97.867,2.133,0,30.28,28.52,0.94,99.287
200000,,,,35.64,,,35,,,,70.04,700.23,,0,1012.56,63,2,"乙酸乙酯/正己烷反沉澱
反應失敗，BPA訊號處有另一產物",99,73.556,2.151,24.293,,,,74.589
200000,,,,35.06,,,35,,,,70.02,700,,0,1165.8,63.4,1.5,乙酸乙酯/正己烷反沉澱,99,98.019,1.981,0,30.28,24.84,0.82,99.999
200000,,,,35,,,30,,,,60,600.18,,0,902.43,63.5,1,甲醇/甲苯再結晶,99,97.733,2.267,0,25.95,25.4,0.98,99.498
200000,,,,30,,,30,,,,60,600.02,,0,1061.43,65,1.5,甲醇/甲苯再結晶,99,97.945,2.055,0,25.95,21.4,0.82,99.657
2000000,,,,160,,,159.59,,,,319.71,3200.11,,0,4296.5,60,1,甲醇/甲苯再結晶,99,98.197,1.803,0,138.42,80.29,0.58,99.137
